rank,school,success_score,incoming_score,outgoing_score,net_ratio
1,Temple,0.604642,0.993899,0,0.538462
2,Southern Miss,0.516728,0.633456,0,1
3,Georgia Southern,0.491362,0.832148,0.0157052,0.4
4,Louisiana,0.481284,0.791139,0,0.428571
5,Colorado State,0.36786,0.67639,0.0344509,0.2
6,South Alabama,0.351193,0.530958,0,0.428571
7,Hawai'i,0.332845,0.379976,0,0.714286
8,Tulsa,0.331448,0.853355,0.184098,-0.2
9,Eastern Michigan,0.330822,0.612554,0.0999997,0.272727
10,Ball State,0.321335,0.745469,0.17133,0
11,Rice,0.296789,0.527349,0.0562849,0.25
12,Louisiana Tech,0.294942,0.513087,0.00533981,0.2
13,UConn,0.294273,0.489415,0.168116,0.5
14,Buffalo,0.2686,0.779604,0.478081,0.111111
15,Toledo,0.265952,0.451904,0,0.2
16,New Mexico,0.262025,0.443916,0.0392823,0.259259
17,UAB,0.26145,0.49906,0.0343406,0.111111
18,Sam Houston,0.254373,0.35848,0.149556,0.6
19,Delaware,0.240103,0.0802063,0,1
20,UNLV,0.233777,0.479792,0.131508,0.166667
21,SMU,0.231342,0.597504,0.656074,0.647059
22,Fresno State,0.215422,0.450528,0.255028,0.333333
23,Jacksonville State,0.20499,0.450504,0.154498,0.130435
24,Western Michigan,0.20275,0.29925,0.0133926,0.285714
25,San José State,0.201278,0.51811,0.0873268,-0.157895
26,Kent State,0.193776,0.6749,0.518129,0.0588235
27,App State,0.186706,0.311479,0.00788916,0.166667
28,UCLA,0.181641,0.472898,0.15371,-0.0434783
29,Boise State,0.17928,0.33363,0.180673,0.333333
30,UTEP,0.171346,0.416524,0.123054,0
31,Penn State,0.164414,0.663123,0.334934,-0.333333
32,Western Kentucky,0.163661,0.209674,0,0.294118
33,Charlotte,0.15065,0.29609,0.277029,0.428571
34,South Florida,0.138808,0.313944,0.16581,0.157895
35,Nevada,0.137963,0.340063,0.329117,0.333333
36,East Carolina,0.130284,0.592239,0.600405,0.0714286
37,North Carolina,0.127318,0.580447,0.297403,-0.368421
38,Vanderbilt,0.120667,0.29347,0.109882,0.0344828
39,Middle Tennessee,0.119123,0.257294,0,-0.047619
40,Massachusetts,0.114339,0.125094,0.00279864,0.263158
41,Marshall,0.110501,0.127297,0.0104902,0.25
42,Missouri State,0.109397,0.200485,0.30282,0.5
43,North Texas,0.109248,0.397707,0.387573,0.133333
44,James Madison,0.104506,0.435477,0.425062,0.0714286
45,Coastal Carolina,0.102785,0.414652,0.287864,-0.0909091
46,UTSA,0.102221,-0.0230968,0.00172011,0.571429
47,Old Dominion,0.101857,0.296116,0.0428911,-0.166667
48,Utah State,0.0826902,0.439863,0.600329,0.214286
49,Georgia State,0.0812583,0.0719537,0.147912,0.448276
50,West Virginia,0.0803888,0.534838,0.469589,-0.230769
51,Ohio,0.0747557,0.144747,0.0476157,0.0833333
52,Miami (OH),0.0626127,0.125225,0,0
