origin,destination,transfer_count,avg_success_delta
Alabama,Colorado,5,0.03875000000000001
Alabama,Florida State,5,0.060380000000000024
Alabama,Georgia Tech,3,0.025400000000000002
Alabama,Kentucky,3,-0.10943333333333334
Alabama,Nebraska,3,0.0
Alabama,Ohio State,3,0.22679999999999997
Alabama,Oregon,3,0.13416666666666668
Alabama,Syracuse,3,0.0425
Alabama,TCU,5,-0.11750000000000001
Alabama,Tennessee,3,0.17843333333333333
Alabama,Texas,6,-0.19776666666666665
Alabama,USC,3,0.07750000000000001
App State,Gardner-Webb,5,-0.09666666666666668
App State,Liberty,3,-0.1566
Arizona,Arizona,3,-0.1441
Arizona,Boise State,3,-0.04833333333333334
Arizona,Massachusetts,6,-0.03858333333333334
Arizona,Middle Tennessee,3,0.0
Arizona,Texas,3,-0.12583333333333332
Arizona,UNLV,4,-0.256875
Arizona,USC,3,-0.6134000000000001
Arizona,Washington,13,-0.08128461538461539
Arizona State,Cincinnati,3,-0.18433333333333335
Arizona State,Oklahoma,3,-0.14963333333333334
Arizona State,SMU,3,0.35473333333333334
Arizona State,Texas State,3,-0.006666666666666668
Arizona State,UNLV,3,-0.2526
Arizona State,Washington,3,-0.16396666666666668
Arkansas,App State,5,0.00794000000000003
Arkansas,Colorado,6,-0.21911666666666665
Arkansas,Memphis,4,-0.2416666666666667
Arkansas,Ole Miss,4,-0.347625
Arkansas,Purdue,6,-0.09716666666666668
Arkansas,SMU,4,-0.07666666666666666
Arkansas,UCLA,3,-0.09749999999999999
Arkansas,UNLV,6,0.54916
Arkansas State,Utah State,3,0.04979999999999999
Auburn,Auburn,4,0.08537499999999999
Auburn,Colorado,3,-0.016666666666666666
Auburn,Florida State,3,-0.1927
Auburn,Kansas,3,-0.03833333333333334
Auburn,Ole Miss,4,0.18586666666666674
Auburn,Purdue,6,-0.03681666666666668
Auburn,UCF,5,-0.017359999999999997
Auburn,USC,3,-0.16136666666666669
Austin Peay,UTEP,11,-0.11105454545454546
BYU,Southern Utah,3,0.11230000000000002
BYU,Utah State,6,0.005260000000000001
BYU,Weber State,3,-0.03506666666666667
Ball State,Butler,4,-0.031549999999999995
Ball State,Illinois,3,-0.5759666666666666
Baylor,Arkansas,3,-0.07750000000000001
Baylor,Colorado State,3,-0.05400000000000001
