school,pagerank,dev_score,dev_score_norm,portal_index
Oregon,0.6267835577817387,0.6782169331362482,1.0,0.8880350673345215
Ole Miss,1.0,0.5844089037630906,0.7934298342367675,0.8554008839657372
SMU,0.30082486625337446,0.6225691792708595,0.8774607481135921,0.7044699835555268
UCLA,0.44457275806344965,0.5575347269618214,0.7342514974389037,0.6473478756262674
Auburn,0.4522107209338742,0.5545393131741994,0.727655440291416,0.6450220244841534
LSU,0.3015965237018894,0.5837187842977525,0.7919101552358979,0.6448160657756954
BYU,0.20316293527478615,0.6022421110230131,0.8326994852931657,0.6438385202876519
USC,0.37842625510462546,0.5612708518831445,0.7424786390755738,0.6332629238842893
Louisiana Tech,0.21740809614054024,0.5913585175063513,0.8087332456028159,0.6313357007641333
Georgia Southern,0.13919839564485414,0.5977365832536283,0.8227780785181614,0.6177041736561693
West Virginia,0.31852966583059644,0.5540262625335307,0.7265256760633853,0.6041268729935486
Purdue,0.24916917741280448,0.5607518901181398,0.7413358582439311,0.5936858539945931
Texas State,0.25188479407821707,0.5539022288728311,0.7262525474834317,0.5839422214618673
Oklahoma State,0.22947596570277817,0.5503580956972249,0.7184481816688628,0.5717565168790374
Arizona State,0.31894727990162386,0.5275636322194459,0.6682535860617185,0.5634616942136901
Indiana,0.250469674472801,0.5363693611468511,0.6876442597210531,0.5564918841465775
Florida Atlantic,0.16157807699048582,0.5505578464233518,0.7188880431698781,0.5516950533160604
TCU,0.18198254918504847,0.5442571277188392,0.7050135324705721,0.548104237484915
Arkansas,0.43539828668530234,0.49303379202013686,0.592217079790218,0.5451714418587432
Miami,0.34528663213209054,0.5065346281663551,0.6219466240446094,0.5389486264708537
Colorado,0.5926849245745527,0.45606871697603335,0.5108180595748361,0.5353781190747511
Cincinnati,0.33866445645195653,0.5020042181777994,0.611970425327241,0.5299786346646557
Wisconsin,0.1773572503942679,0.5191899742032154,0.6498143550490233,0.5080772236525967
Temple,0.08501049210626872,0.5328824674733038,0.6799659382707837,0.5014793044214292
Georgia Tech,0.2551775093841479,0.4895591976184936,0.5845658419771697,0.48574934219926313
Memphis,0.27748663134241247,0.4712217073247853,0.5441857334196725,0.4641760027964944
Coastal Carolina,0.09267002091467672,0.5062758814854244,0.6213768503788827,0.46276480153962085
Oklahoma,0.2602860281003897,0.46875290077376713,0.5387492928304289,0.45521031341141716
Houston,0.33384259482239015,0.4435883795460203,0.4833357066363299,0.438487773092148
Massachusetts,0.0879009551362593,0.48052655716160925,0.5646754973134304,0.42164313466027903
Nevada,0.12188578631235363,0.4585503949159201,0.5162828436326499,0.39796372643656097
Louisville,0.29001648978030137,0.4231246604786486,0.4382735315951732,0.3937964190507116
Kansas,0.11620525373362267,0.4432869584125478,0.48267196160382014,0.3727319492427609
Georgia State,0.12959016116267985,0.4272071818345048,0.44726345621939156,0.351961467702378
UConn,0.09788561910804264,0.4263091882913843,0.4452860276741354,0.3410659051043075
Michigan State,0.21374060311823373,0.4037422625694622,0.3955924820544904,0.3410369183736134
Minnesota,0.20099025757236372,0.4053827374781632,0.3992048932317127,0.33974050253390803
Baylor,0.21576102921235904,0.39628530892185787,0.3791718817991871,0.33014862602313866
Texas A&M,0.3394543210458432,0.35444122979618176,0.28702904052046313,0.3027566246780772
Liberty,0.10965996756715511,0.37841212122050094,0.3398141917287556,0.2707679244802754
Western Kentucky,0.3085459566349774,0.32539601152533393,0.2230699573488991,0.24871275713472257
California,0.3578733287804299,0.3070680323901415,0.18271079285775052,0.2352595536345543
UCF,0.24131444200546479,0.3259796902987172,0.2243552484031504,0.22944300648384472
New Mexico,0.04550148738659789,0.36352798416373516,0.3070385468334951,0.2285774289994259
Mississippi State,0.41616764394141703,0.29027325928605974,0.14572782788930866,0.22685977270494118
South Florida,0.07992576317781716,0.3291616379925389,0.23136206292590342,0.18593117300147755
East Carolina,0.13678568302062222,0.2970923030178922,0.1607437172907166,0.15355630700968828
Charlotte,0.19430755581510456,0.22409506598976564,0.0,0.05829226674453136
