school,pagerank,dev_score,dev_score_norm,portal_index
Ole Miss,1.0,0.6204055048467106,0.9295455169352227,0.9506818618546558
Oregon,0.6346831105825168,0.6669724027610026,0.999316095783496,0.8899262002232022
USC,0.679101473852433,0.5838183292969507,0.8747274265992828,0.8160396407752278
Miami,0.6133368973252225,0.5834839106639296,0.8742263715011641,0.7959595292483816
Indiana,0.5087495526161682,0.6130125829782841,0.9184687980374009,0.795553024411031
Arkansas,0.5955302064776107,0.5844882481878312,0.8757311573799793,0.7916708721092687
TCU,0.5711688687441784,0.5900115321658852,0.8840066220888697,0.7901552960854623
Florida State,0.6307352211491075,0.5688400516884778,0.8522856676309977,0.7858205336864306
SMU,0.4645021578045416,0.5922776373675209,0.887401898105327,0.7605319760150914
Cincinnati,0.380363824239901,0.615497305849693,0.9221916260714867,0.759643285522011
Duke,0.15127998848688057,0.6674288601726911,1.0,0.7453839965460641
Texas,0.304942854657724,0.623359136125092,0.9339709043504704,0.7452624894426465
Alabama,0.3581192072553441,0.5997089547336719,0.8985361444791325,0.736411063311996
Notre Dame,0.298494188063727,0.6109600737919565,0.9153935501588532,0.7303237415303153
Washington,0.453288228320915,0.5588983068804431,0.8373900803987309,0.722159524775386
Michigan State,0.5490420037196087,0.5281973893628132,0.7913912940866042,0.7186865069765055
Iowa,0.10683463556685023,0.6520134724141887,0.9769033245662859,0.7158827178664552
UCF,0.5235588754387114,0.5256999264854836,0.7876493778669738,0.708422227138495
LSU,0.521675062998899,0.5250503026454134,0.7866760548975383,0.7071757573279465
Syracuse,0.24374808569729853,0.6004996045382586,0.8997207648211148,0.7029289610839698
Kansas,0.28763729220528894,0.5869712600018856,0.8794514217590353,0.7019071828929114
Missouri,0.39534174865314053,0.5540137705616874,0.8300716430187652,0.6996526747090778
Virginia,0.2824280803820888,0.5840217004448089,0.8750321349509799,0.6972509185803125
UNLV,0.2498493216237365,0.5905497157957367,0.8848129756374894,0.6943238794333635
Texas Tech,0.3783345128630535,0.5502555122782479,0.8244406934034503,0.6906088392413311
Houston,0.49238081204851186,0.5151500154576442,0.7718425830797215,0.6880040517703586
Nebraska,0.4074671313671754,0.5367698394848729,0.8042352848601552,0.6852048388122611
UCLA,0.3713620947635562,0.5456969528573788,0.8176106629793994,0.6837360925146464
Louisville,0.5500179213899137,0.49359072465496084,0.7395405774440871,0.6826837806278351
Rutgers,0.275674293743874,0.5632042741356555,0.8438416552588565,0.6733914468043617
Miami (OH),0.0814854366979873,0.60984846558565,0.9137280420086379,0.6640552604154427
Colorado,0.6132385669303129,0.45714533078561953,0.6849349167600235,0.6634260118111103
Tulane,0.32170225869620733,0.539452182363301,0.8082542043862512,0.662288620679238
NC State,0.21583878481104207,0.5689745230004706,0.8524871442527278,0.661492636420222
Wake Forest,0.20520185591884574,0.5718625601396029,0.8568142528203511,0.6613305337498995
Wisconsin,0.45020078120843365,0.5008431530369385,0.7504067967743407,0.6603449921045687
Georgia Tech,0.44208831022412864,0.5019072381507894,0.752001101691835,0.659027264251523
Auburn,0.6371971041854004,0.4455656833120292,0.66758528121895,0.6584688281088851
Washington State,0.24146497553654678,0.5550808786942737,0.8316704772860011,0.6546088267611647
Western Kentucky,0.33195258157507057,0.5261109292318779,0.7882651779483306,0.6513713990363525
West Virginia,0.38420803877846504,0.5064294239424026,0.7587766339791909,0.6464060554189732
Arizona,0.31783658701702894,0.5241251166812894,0.7852898607735913,0.6450538786466226
North Carolina,0.38600300645105906,0.5038376818303083,0.7548934604055703,0.6442263242192168
Arizona State,0.3699410990689169,0.5082095692428236,0.7614438025819396,0.6439929915280328
Virginia Tech,0.28662818798619055,0.5296528860854756,0.7935720459382484,0.641488888552631
California,0.44331919368459927,0.4833314183642447,0.724169191963301,0.6399141924796904
BYU,0.11470139858447735,0.573561289929922,0.8593594376208398,0.635962025909931
South Carolina,0.32605753512624785,0.5128915743712612,0.7684587901076906,0.6357384136132577
Boston College,0.12365954257182883,0.5703635326220963,0.8545682793436891,0.635295658312131
Buffalo,0.13308105700218303,0.5615460384486803,0.8413571422479176,0.6288743166741971
Georgia Southern,0.1496409611859212,0.555266590375968,0.8319487266887109,0.627256397037874
Colorado State,0.16545481994539746,0.5496320517995467,0.823506570658833,0.6260910454448023
Utah,0.3186104768494553,0.505572223145032,0.7574923011483499,0.6258277538586815
Maryland,0.1368898974193002,0.5541272629798172,0.8302416872360626,0.6222361502910339
Oklahoma,0.5568238609047594,0.4310220580925362,0.6457947562846071,0.6191034876706528
Fresno State,0.132495062102779,0.5491594121342265,0.8227984207817093,0.6157074131780302
UConn,0.21035223076034404,0.5266571414032265,0.7890835605564895,0.6154641616176458
Texas State,0.30924943610621497,0.4935801754365856,0.7395247716870923,0.610442171012829
Tennessee,0.22209101844522325,0.5175577603651031,0.7754500760293611,0.6094423587541198
Memphis,0.44118626464942035,0.450836192692689,0.6754820170288101,0.6051932913149931
Tulsa,0.1568146439421474,0.5316526868202904,0.79656832142789,0.6046422181821671
North Texas,0.19309617727838058,0.5205559352099662,0.7799422024922285,0.603888394928074
James Madison,0.17450116416053563,0.525825834815591,0.7878380246840665,0.6038369665270072
Northwestern,0.09274136752265873,0.5475112914442464,0.8203290629395061,0.6020527543144519
Kentucky,0.4112617919096013,0.45460726888533026,0.6811321715511445,0.6001710576586815
Illinois,0.2155534304642619,0.5105849794081702,0.7650028488070788,0.6001680233042337
UAB,0.1521976124452628,0.5279471979725464,0.7910164355732908,0.5993707886348824
Pittsburgh,0.13833151046115216,0.5302953930073667,0.7945347057215321,0.5976737471434181
Penn State,0.17103904607669682,0.5191534109614528,0.77784081861118,0.595800286850835
Mississippi State,0.3353592775970107,0.46609678740307176,0.6983467680472695,0.5894505209121919
Ball State,0.09528123797330061,0.534380874389519,0.8006559294592878,0.5890435220134916
San Diego State,0.12184465228280617,0.525863694404599,0.7878947492149749,0.5880797201353243
Kennesaw State,0.05417544496600065,0.5447153212363925,0.8161398970602687,0.5875505614319882
Baylor,0.3734541855972305,0.45262485946449815,0.6781619532415569,0.5867496229482589
Vanderbilt,0.15117638448045528,0.5136344261035667,0.7695717952182477,0.5840531719969099
Louisiana Tech,0.1898208477342067,0.502269611139686,0.7525440404385996,0.5837270826272817
Temple,0.15417579530050335,0.5120281118831665,0.7671650754668954,0.5832682914169778
UTEP,0.0823429558037494,0.5258381882056261,0.7878565336080467,0.5762024602667576
Texas A&M,0.3222749317839711,0.4544328207142135,0.6808707981201669,0.5732920382193081
Liberty,0.0817974595563084,0.5221195918943886,0.7822850090109903,0.5721387441745857
Utah State,0.17023340680241966,0.496212261835288,0.7434683925817916,0.57149789684798
Florida Atlantic,0.20867757880910284,0.4830708978895565,0.723778857516839,0.5692484739045182
South Florida,0.19485716707045522,0.48666367071326644,0.7291618624153392,0.5688704538118741
Massachusetts,0.23107391338612007,0.47341537711400034,0.7093121160381175,0.5658406552425183
Louisiana,0.010572127915748245,0.5352160405831619,0.8019072481293057,0.5645067120652384
